"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","Greece","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","1,377.7",""
"2005","Greece","Terajoule","Total petroleum products","Gross inland consumption","758,608",""
"2005","Greece","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","853,471",""
"2005","Greece","Terajoule","Crude oil (without NGL)","Gross inland consumption","790,830",""
"2005","Greece","Terajoule","Natural gas liquids (NGL)","Gross inland consumption","457",""
"2005","Greece","Terajoule","Refinery feedstocks","Gross inland consumption","57,680",""
"2005","Spain","Thousand tonnes","Total petroleum products","Gross inland consumption","70,424",""
"2005","Spain","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","60,311",""
"2005","Spain","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","59,510",""
"2005","Spain","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Spain","Thousand tonnes","Refinery feedstocks","Gross inland consumption","805",""
"2005","Spain","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","70,457.3",""
"2005","Spain","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","60,719.7",""
"2005","Spain","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","59,906.6",""
"2005","Spain","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Spain","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","817.2",""
"2005","Spain","Terajoule","Total petroleum products","Gross inland consumption","2,949,908",""
"2005","Spain","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","2,542,213",""
"2005","Spain","Terajoule","Crude oil (without NGL)","Gross inland consumption","2,508,170",""
"2005","Spain","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Spain","Terajoule","Refinery feedstocks","Gross inland consumption","34,212",""
"2005","France","Thousand tonnes","Total petroleum products","Gross inland consumption","91,911",""
"2005","France","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","85,728",""
"2005","France","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","85,573",""
"2005","France","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption","150",""
"2005","France","Thousand tonnes","Refinery feedstocks","Gross inland consumption","-146",""
"2005","France","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","93,251.0",""
"2005","France","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","87,075.1",""
"2005","France","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","86,862.0",""
"2005","France","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption","150.5",""
"2005","France","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","-146.0",""
"2005","France","Terajoule","Total petroleum products","Gross inland consumption","3,904,234",""
"2005","France","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","3,645,660",""
"2005","France","Terajoule","Crude oil (without NGL)","Gross inland consumption","3,636,739",""
"2005","France","Terajoule","Natural gas liquids (NGL)","Gross inland consumption","6,300",""
"2005","France","Terajoule","Refinery feedstocks","Gross inland consumption","-6,111",""
"2005","Croatia","Thousand tonnes","Total petroleum products","Gross inland consumption","4,532",""
"2005","Croatia","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","5,351",""
"2005","Croatia","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","4,875",""
"2005","Croatia","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption","174",""
"2005","Croatia","Thousand tonnes","Refinery feedstocks","Gross inland consumption","282",""
"2005","Croatia","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","4,489.8",""
"2005","Croatia","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","5,403.2",""
"2005","Croatia","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","4,903.7",""
"2005","Croatia","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption","193.6",""
"2005","Croatia","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","285.6",""
"2005","Croatia","Terajoule","Total petroleum products","Gross inland consumption","187,980",""
"2005","Croatia","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","226,222",""
"2005","Croatia","Terajoule","Crude oil (without NGL)","Gross inland consumption","205,310",""
"2005","Croatia","Terajoule","Natural gas liquids (NGL)","Gross inland consumption","8,107",""
"2005","Croatia","Terajoule","Refinery feedstocks","Gross inland consumption","11,957",""
"2005","Italy","Thousand tonnes","Total petroleum products","Gross inland consumption","84,396",""
"2005","Italy","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","100,085",""
"2005","Italy","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","94,132",""
"2005","Italy","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Italy","Thousand tonnes","Refinery feedstocks","Gross inland consumption","5,449",""
"2005","Italy","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","83,963.1",""
"2005","Italy","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","100,508.8",""
"2005","Italy","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","94,758.4",""
"2005","Italy","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Italy","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","5,448.0",""
"2005","Italy","Terajoule","Total petroleum products","Gross inland consumption","3,515,366",""
"2005","Italy","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","4,208,102",""
"2005","Italy","Terajoule","Crude oil (without NGL)","Gross inland consumption","3,967,346",""
"2005","Italy","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Italy","Terajoule","Refinery feedstocks","Gross inland consumption","228,095",""
"2005","Cyprus","Thousand tonnes","Total petroleum products","Gross inland consumption","2,473",""
"2005","Cyprus","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption",":",""
"2005","Cyprus","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption",":",""
"2005","Cyprus","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Cyprus","Thousand tonnes","Refinery feedstocks","Gross inland consumption",":",""
"2005","Cyprus","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","2,446.1",""
"2005","Cyprus","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption",":",""
"2005","Cyprus","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption",":",""
"2005","Cyprus","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Cyprus","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption",":",""
"2005","Cyprus","Terajoule","Total petroleum products","Gross inland consumption","102,412",""
"2005","Cyprus","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption",":",""
"2005","Cyprus","Terajoule","Crude oil (without NGL)","Gross inland consumption",":",""
"2005","Cyprus","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Cyprus","Terajoule","Refinery feedstocks","Gross inland consumption",":",""
"2005","Latvia","Thousand tonnes","Total petroleum products","Gross inland consumption","1,450",""
"2005","Latvia","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","0",""
"2005","Latvia","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption",":",""
"2005","Latvia","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Latvia","Thousand tonnes","Refinery feedstocks","Gross inland consumption",":",""
"2005","Latvia","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","1,486.6",""
"2005","Latvia","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","0.0",""
"2005","Latvia","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption",":",""
"2005","Latvia","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Latvia","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption",":",""
"2005","Latvia","Terajoule","Total petroleum products","Gross inland consumption","62,242",""
"2005","Latvia","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","0",""
"2005","Latvia","Terajoule","Crude oil (without NGL)","Gross inland consumption",":",""
"2005","Latvia","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Latvia","Terajoule","Refinery feedstocks","Gross inland consumption",":",""
"2005","Lithuania","Thousand tonnes","Total petroleum products","Gross inland consumption","2,701",""
"2005","Lithuania","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","9,271",""
"2005","Lithuania","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","9,196",""
