TIME,GEO,INDUSTRY,EMISSION;;
"2004,France,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,France,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,France,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,France,Transportation and storage,:;;
2004,France,Accommodation and food service activities,:;;
2004,France,Information and communication,:;;
2004,France,Financial and insurance activities,:;;
2004,France,Real estate activities,:;;
"2004,France,""Professional, scientific and technical activities"",:";;
2004,France,Administrative and support service activities,:;;
2004,France,Public administration and defence; compulsory social security,:;
2004,France,Education,:;;
2004,France,Human health and social work activities,:;;
"2004,France,""Arts, entertainment and recreation"",:";;
2004,France,Other service activities,:;;
2004,France,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,France,Activities of extraterritorial organisations and bodies,:;;
2004,Croatia,Total - All NACE activities,:;;
"2004,Croatia,""Agriculture, forestry and fishing"",:";;
2004,Croatia,Mining and quarrying,:;;
2004,Croatia,Manufacturing,:;;
"2004,Croatia,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Croatia,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Croatia,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Croatia,Transportation and storage,:;;
2004,Croatia,Accommodation and food service activities,:;;
2004,Croatia,Information and communication,:;;
2004,Croatia,Financial and insurance activities,:;;
2004,Croatia,Real estate activities,:;;
"2004,Croatia,""Professional, scientific and technical activities"",:";;
2004,Croatia,Administrative and support service activities,:;;
2004,Croatia,Public administration and defence; compulsory social security,:;
2004,Croatia,Education,:;;
2004,Croatia,Human health and social work activities,:;;
"2004,Croatia,""Arts, entertainment and recreation"",:";;
2004,Croatia,Other service activities,:;;
2004,Croatia,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Croatia,Activities of extraterritorial organisations and bodies,:;;
"2004,Italy,Total - All NACE activities,""381,360,781""";;
"2004,Italy,""Agriculture, forestry and fishing"",""9,149,865""";;
"2004,Italy,Mining and quarrying,""1,773,669""";;
"2004,Italy,Manufacturing,""143,613,862""";;
"2004,Italy,""Electricity, gas, steam and air conditioning supply"",""140,512,679""";;
"2004,Italy,""Water supply";" sewerage, waste management and remediation activities"",""8,459,563""";
2004,Italy,Wholesale and retail trade;" repair of motor vehicles and motorcycles,""9,711,999""";
"2004,Italy,Transportation and storage,""51,353,336""";;
"2004,Italy,Accommodation and food service activities,""1,979,655""";;
"2004,Italy,Information and communication,""316,020""";;
"2004,Italy,Financial and insurance activities,""552,336""";;
"2004,Italy,Real estate activities,""240,756""";;
"2004,Italy,""Professional, scientific and technical activities"",""1,096,065""";;
"2004,Italy,Administrative and support service activities,""3,118,419""";;
2004,Italy,Public administration and defence;" compulsory social security,""2,301,612""";
"2004,Italy,Education,""47,854""";;
"2004,Italy,Human health and social work activities,""1,301,674""";;
"2004,Italy,""Arts, entertainment and recreation"",""434,509""";;
"2004,Italy,Other service activities,""805,001""";;
2004,Italy,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0;
2004,Italy,Activities of extraterritorial organisations and bodies,0;;
2004,Cyprus,Total - All NACE activities,:;;
"2004,Cyprus,""Agriculture, forestry and fishing"",:";;
2004,Cyprus,Mining and quarrying,:;;
2004,Cyprus,Manufacturing,:;;
"2004,Cyprus,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Cyprus,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Cyprus,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Cyprus,Transportation and storage,:;;
2004,Cyprus,Accommodation and food service activities,:;;
2004,Cyprus,Information and communication,:;;
2004,Cyprus,Financial and insurance activities,:;;
2004,Cyprus,Real estate activities,:;;
"2004,Cyprus,""Professional, scientific and technical activities"",:";;
2004,Cyprus,Administrative and support service activities,:;;
2004,Cyprus,Public administration and defence; compulsory social security,:;
2004,Cyprus,Education,:;;
2004,Cyprus,Human health and social work activities,:;;
"2004,Cyprus,""Arts, entertainment and recreation"",:";;
2004,Cyprus,Other service activities,:;;
2004,Cyprus,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Cyprus,Activities of extraterritorial organisations and bodies,:;;
2004,Latvia,Total - All NACE activities,:;;
"2004,Latvia,""Agriculture, forestry and fishing"",:";;
2004,Latvia,Mining and quarrying,:;;
2004,Latvia,Manufacturing,:;;
"2004,Latvia,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Latvia,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Latvia,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Latvia,Transportation and storage,:;;
2004,Latvia,Accommodation and food service activities,:;;
2004,Latvia,Information and communication,:;;
2004,Latvia,Financial and insurance activities,:;;
2004,Latvia,Real estate activities,:;;
"2004,Latvia,""Professional, scientific and technical activities"",:";;
2004,Latvia,Administrative and support service activities,:;;
2004,Latvia,Public administration and defence; compulsory social security,:;
2004,Latvia,Education,:;;
2004,Latvia,Human health and social work activities,:;;
"2004,Latvia,""Arts, entertainment and recreation"",:";;
2004,Latvia,Other service activities,:;;
2004,Latvia,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Latvia,Activities of extraterritorial organisations and bodies,:;;
2004,Lithuania,Total - All NACE activities,:;;
"2004,Lithuania,""Agriculture, forestry and fishing"",:";;
2004,Lithuania,Mining and quarrying,:;;
2004,Lithuania,Manufacturing,:;;
"2004,Lithuania,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Lithuania,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Lithuania,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Lithuania,Transportation and storage,:;;
2004,Lithuania,Accommodation and food service activities,:;;
2004,Lithuania,Information and communication,:;;
2004,Lithuania,Financial and insurance activities,:;;
2004,Lithuania,Real estate activities,:;;
"2004,Lithuania,""Professional, scientific and technical activities"",:";;
2004,Lithuania,Administrative and support service activities,:;;
2004,Lithuania,Public administration and defence; compulsory social security,:;
2004,Lithuania,Education,:;;
2004,Lithuania,Human health and social work activities,:;;
"2004,Lithuania,""Arts, entertainment and recreation"",:";;
2004,Lithuania,Other service activities,:;;
2004,Lithuania,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Lithuania,Activities of extraterritorial organisations and bodies,:;;
2004,Luxembourg,Total - All NACE activities,:;;
"2004,Luxembourg,""Agriculture, forestry and fishing"",:";;
2004,Luxembourg,Mining and quarrying,:;;
2004,Luxembourg,Manufacturing,:;;
"2004,Luxembourg,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Luxembourg,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Luxembourg,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Luxembourg,Transportation and storage,:;;
2004,Luxembourg,Accommodation and food service activities,:;;
2004,Luxembourg,Information and communication,:;;
2004,Luxembourg,Financial and insurance activities,:;;
2004,Luxembourg,Real estate activities,:;;
"2004,Luxembourg,""Professional, scientific and technical activities"",:";;
2004,Luxembourg,Administrative and support service activities,:;;
2004,Luxembourg,Public administration and defence; compulsory social security,:;
2004,Luxembourg,Education,:;;
2004,Luxembourg,Human health and social work activities,:;;
"2004,Luxembourg,""Arts, entertainment and recreation"",:";;
2004,Luxembourg,Other service activities,:;;
2004,Luxembourg,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Luxembourg,Activities of extraterritorial organisations and bodies,:;;
"2004,Hungary,Total - All NACE activities,""44,560,382""";;
"2004,Hungary,""Agriculture, forestry and fishing"",""1,770,105""";;
"2004,Hungary,Mining and quarrying,""528,432""";;
"2004,Hungary,Manufacturing,""10,889,546""";;
"2004,Hungary,""Electricity, gas, steam and air conditioning supply"",""20,686,945""";;
"2004,Hungary,""Water supply";" sewerage, waste management and remediation activities"",""262,179""";
2004,Hungary,Wholesale and retail trade;" repair of motor vehicles and motorcycles,""1,402,505""";
"2004,Hungary,Transportation and storage,""3,793,654""";;
"2004,Hungary,Accommodation and food service activities,""179,913""";;
"2004,Hungary,Information and communication,""556,126""";;
"2004,Hungary,Financial and insurance activities,""401,849""";;
"2004,Hungary,Real estate activities,""720,101""";;
"2004,Hungary,""Professional, scientific and technical activities"",""467,248""";;
"2004,Hungary,Administrative and support service activities,""389,822""";;
2004,Hungary,Public administration and defence;" compulsory social security,""947,784""";
"2004,Hungary,Education,""526,434""";;
"2004,Hungary,Human health and social work activities,""436,121""";;
"2004,Hungary,""Arts, entertainment and recreation"",""105,060""";;
"2004,Hungary,Other service activities,""159,835""";;
2004,Hungary,Activities of households as employers;" undifferentiated goods- and services-producing activities of households for own use,""1,707""";
2004,Hungary,Activities of extraterritorial organisations and bodies,0;;
"2004,Malta,Total - All NACE activities,""4,793,217""";;
"2004,Malta,""Agriculture, forestry and fishing"",""9,959""";;
"2004,Malta,Mining and quarrying,""6,231""";;
"2004,Malta,Manufacturing,""51,619""";;
"2004,Malta,""Electricity, gas, steam and air conditioning supply"",""1,951,654""";;
"2004,Malta,""Water supply";" sewerage, waste management and remediation activities"",""6,535""";
2004,Malta,Wholesale and retail trade;" repair of motor vehicles and motorcycles,""33,099""";
"2004,Malta,Transportation and storage,""2,647,826""";;
"2004,Malta,Accommodation and food service activities,""3,348""";;
"2004,Malta,Information and communication,""4,263""";;
