COU,Country,ISIC,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,TOTAL,Total amounts of primary waste generated,2008,2008,TONNE,Tonnes,3,thousands,,,55774.591,,
AUT,Austria,TOTAL,Total amounts of primary waste generated,2010,2010,TONNE,Tonnes,3,thousands,,,33487.652,B,Break
AUT,Austria,TOTAL,Total amounts of primary waste generated,2012,2012,TONNE,Tonnes,3,thousands,,,32436.887,,
AUT,Austria,01-03,Agriculture forestry and fishing ,2008,2008,TONNE,Tonnes,3,thousands,,,459.096,,
AUT,Austria,01-03,Agriculture forestry and fishing ,2010,2010,TONNE,Tonnes,3,thousands,,,549.833,B,Break
AUT,Austria,01-03,Agriculture forestry and fishing ,2012,2012,TONNE,Tonnes,3,thousands,,,179.044,,
AUT,Austria,05-09,Mining and Quarrying,2008,2008,TONNE,Tonnes,3,thousands,,,677.937,,
AUT,Austria,05-09,Mining and Quarrying,2010,2010,TONNE,Tonnes,3,thousands,,,269.151,B,Break
AUT,Austria,05-09,Mining and Quarrying,2012,2012,TONNE,Tonnes,3,thousands,,,51.339,,
AUT,Austria,10-33,Manufacturing industries: Total,2008,2008,TONNE,Tonnes,3,thousands,,,13037.831,,
AUT,Austria,10-33,Manufacturing industries: Total,2010,2010,TONNE,Tonnes,3,thousands,,,2951.45,B,Break
AUT,Austria,10-33,Manufacturing industries: Total,2012,2012,TONNE,Tonnes,3,thousands,,,3632.679,,
AUT,Austria,10-12,Manufacture of food products beverages and tobacco products,2008,2008,TONNE,Tonnes,3,thousands,,,2060.655,,
AUT,Austria,10-12,Manufacture of food products beverages and tobacco products,2010,2010,TONNE,Tonnes,3,thousands,,,295.698,B,Break
AUT,Austria,10-12,Manufacture of food products beverages and tobacco products,2012,2012,TONNE,Tonnes,3,thousands,,,280.812,,
AUT,Austria,13-15,Manufacture of textiles, wearing apparel, leather and related products,2008,2008,TONNE,Tonnes,3,thousands,,,133.625,,
AUT,Austria,13-15,Manufacture of textiles, wearing apparel, leather and related products,2010,2010,TONNE,Tonnes,3,thousands,,,46.693,B,Break
AUT,Austria,13-15,Manufacture of textiles, wearing apparel, leather and related products,2012,2012,TONNE,Tonnes,3,thousands,,,30.193,,
AUT,Austria,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2008,2008,TONNE,Tonnes,3,thousands,,,4364.383,,
AUT,Austria,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2010,2010,TONNE,Tonnes,3,thousands,,,165.505,B,Break
AUT,Austria,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2012,2012,TONNE,Tonnes,3,thousands,,,260.929,,
AUT,Austria,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2008,2008,TONNE,Tonnes,3,thousands,,,832.531,,
AUT,Austria,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2010,2010,TONNE,Tonnes,3,thousands,,,382.844,B,Break
AUT,Austria,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2012,2012,TONNE,Tonnes,3,thousands,,,665.498,,
AUT,Austria,19,Manufacture of coke and refined petroleum products,2008,2008,TONNE,Tonnes,3,thousands,,,11.911,,
AUT,Austria,19,Manufacture of coke and refined petroleum products,2010,2010,TONNE,Tonnes,3,thousands,,,16.462,B,Break
AUT,Austria,19,Manufacture of coke and refined petroleum products,2012,2012,TONNE,Tonnes,3,thousands,,,3.97,,
AUT,Austria,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2008,2008,TONNE,Tonnes,3,thousands,,,331.389,,
AUT,Austria,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2010,2010,TONNE,Tonnes,3,thousands,,,369.537,B,Break
AUT,Austria,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2012,2012,TONNE,Tonnes,3,thousands,,,270.569,,
AUT,Austria,23,Manufacture of other non-metallic mineral products,2008,2008,TONNE,Tonnes,3,thousands,,,801.253,,
AUT,Austria,23,Manufacture of other non-metallic mineral products,2010,2010,TONNE,Tonnes,3,thousands,,,144.919,B,Break
AUT,Austria,23,Manufacture of other non-metallic mineral products,2012,2012,TONNE,Tonnes,3,thousands,,,64.823,,
AUT,Austria,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,4502.084,,
AUT,Austria,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,1529.792,B,Break
AUT,Austria,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,2055.885,,
AUT,Austria,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,3602.6,,
AUT,Austria,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,1007.452,,
AUT,Austria,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,1569.355,,
AUT,Austria,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2008,2008,TONNE,Tonnes,3,thousands,,,757.118,,
AUT,Austria,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2010,2010,TONNE,Tonnes,3,thousands,,,400.176,,
AUT,Austria,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2012,2012,TONNE,Tonnes,3,thousands,,,409.036,,
AUT,Austria,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,142.366,,
AUT,Austria,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,122.164,B,Break
AUT,Austria,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,77.494,,
AUT,Austria,35,Energy Production ,2008,2008,TONNE,Tonnes,3,thousands,,,548.962,,
AUT,Austria,35,Energy Production ,2010,2010,TONNE,Tonnes,3,thousands,,,441.611,B,Break
AUT,Austria,35,Energy Production ,2012,2012,TONNE,Tonnes,3,thousands,,,621.68,,
AUT,Austria,36-39,Water supply sewerage waste management ,2008,2008,TONNE,Tonnes,3,thousands,,,2049.187,,
AUT,Austria,36-39,Water supply sewerage waste management ,2010,2010,TONNE,Tonnes,3,thousands,,,2953.855,B,Break
AUT,Austria,36-39,Water supply sewerage waste management ,2012,2012,TONNE,Tonnes,3,thousands,,,1172.356,,
AUT,Austria,41-43,Construction,2008,2008,TONNE,Tonnes,3,thousands,,,31389.803,,
AUT,Austria,41-43,Construction,2010,2010,TONNE,Tonnes,3,thousands,,,9008.721,B,Break
AUT,Austria,41-43,Construction,2012,2012,TONNE,Tonnes,3,thousands,,,19470.934,,
AUT,Austria,45-98,Other,2008,2008,TONNE,Tonnes,3,thousands,,,7611.775,,
AUT,Austria,45-98,Other,2010,2010,TONNE,Tonnes,3,thousands,,,17313.031,B,Break
AUT,Austria,45-98,Other,2012,2012,TONNE,Tonnes,3,thousands,,,7308.855,,
AUT,Austria,INT_CAPITA,Primary waste per capita,2008,2008,KG_HAB,Kilograms per capita,0,units,,,6702.436,,
AUT,Austria,INT_CAPITA,Primary waste per capita,2010,2010,KG_HAB,Kilograms per capita,0,units,,,4005.187,B,Break
AUT,Austria,INT_CAPITA,Primary waste per capita,2012,2012,KG_HAB,Kilograms per capita,0,units,,,3849.477,,
AUT,Austria,INT_GDP,Primary waste per unit of GDP,2008,2008,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,179.68,,
AUT,Austria,INT_GDP,Primary waste per unit of GDP,2010,2010,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,110.02,B,Break
AUT,Austria,INT_GDP,Primary waste per unit of GDP,2012,2012,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,102.878,,
AUT,Austria,INT_CONS,Waste from construction sector per capita,2008,2008,KG_HAB,Kilograms per capita,0,units,,,3772.115,,
AUT,Austria,INT_CONS,Waste from construction sector per capita,2010,2010,KG_HAB,Kilograms per capita,0,units,,,1077.46,B,Break
AUT,Austria,INT_CONS,Waste from construction sector per capita,2012,2012,KG_HAB,Kilograms per capita,0,units,,,2310.731,,
BEL,Belgium,TOTAL_S,Total amounts of waste generated by sector,2006,2006,TONNE,Tonnes,3,thousands,,,59351.721,,
BEL,Belgium,TOTAL_S,Total amounts of waste generated by sector,2008,2008,TONNE,Tonnes,3,thousands,,,48621.916,,
BEL,Belgium,TOTAL_S,Total amounts of waste generated by sector,2010,2010,TONNE,Tonnes,3,thousands,,,62537.18,,
BEL,Belgium,TOTAL_S,Total amounts of waste generated by sector,2012,2012,TONNE,Tonnes,3,thousands,,,67630.317,,
BEL,Belgium,RES,Sorting residues, secondary waste,2006,2006,TONNE,Tonnes,3,thousands,,,1118.252,,
BEL,Belgium,RES,Sorting residues, secondary waste,2008,2008,TONNE,Tonnes,3,thousands,,,884.209,,
BEL,Belgium,RES,Sorting residues, secondary waste,2010,2010,TONNE,Tonnes,3,thousands,,,1537.532,,
BEL,Belgium,RES,Sorting residues, secondary waste,2012,2012,TONNE,Tonnes,3,thousands,,,1700.481,,
BEL,Belgium,TOTAL,Total amounts of primary waste generated,2006,2006,TONNE,Tonnes,3,thousands,,,58233.469,,
BEL,Belgium,TOTAL,Total amounts of primary waste generated,2008,2008,TONNE,Tonnes,3,thousands,,,47737.707,,
BEL,Belgium,TOTAL,Total amounts of primary waste generated,2010,2010,TONNE,Tonnes,3,thousands,,,60999.648,B,Break
BEL,Belgium,TOTAL,Total amounts of primary waste generated,2012,2012,TONNE,Tonnes,3,thousands,,,65929.836,,
BEL,Belgium,01-03,Agriculture forestry and fishing ,2006,2006,TONNE,Tonnes,3,thousands,,,361.386,,
BEL,Belgium,01-03,Agriculture forestry and fishing ,2008,2008,TONNE,Tonnes,3,thousands,,,287.656,,
BEL,Belgium,01-03,Agriculture forestry and fishing ,2010,2010,TONNE,Tonnes,3,thousands,,,231.033,B,Break
BEL,Belgium,01-03,Agriculture forestry and fishing ,2012,2012,TONNE,Tonnes,3,thousands,,,212.369,,
BEL,Belgium,05-09,Mining and Quarrying,2006,2006,TONNE,Tonnes,3,thousands,,,159.059,,
BEL,Belgium,05-09,Mining and Quarrying,2008,2008,TONNE,Tonnes,3,thousands,,,503.487,,
BEL,Belgium,05-09,Mining and Quarrying,2010,2010,TONNE,Tonnes,3,thousands,,,1701.225,B,Break
BEL,Belgium,05-09,Mining and Quarrying,2012,2012,TONNE,Tonnes,3,thousands,,,113.012,,
BEL,Belgium,10-33,Manufacturing industries: Total,2006,2006,TONNE,Tonnes,3,thousands,,,15293.364,,
BEL,Belgium,10-33,Manufacturing industries: Total,2008,2008,TONNE,Tonnes,3,thousands,,,10044.065,,
BEL,Belgium,10-33,Manufacturing industries: Total,2010,2010,TONNE,Tonnes,3,thousands,,,14520.776,B,Break
BEL,Belgium,10-33,Manufacturing industries: Total,2012,2012,TONNE,Tonnes,3,thousands,,,17543.344,,
BEL,Belgium,10-12,Manufacture of food products beverages and tobacco products,2006,2006,TONNE,Tonnes,3,thousands,,,3716.066,,
BEL,Belgium,10-12,Manufacture of food products beverages and tobacco products,2008,2008,TONNE,Tonnes,3,thousands,,,4054.096,,
BEL,Belgium,10-12,Manufacture of food products beverages and tobacco products,2010,2010,TONNE,Tonnes,3,thousands,,,3975.362,B,Break
BEL,Belgium,10-12,Manufacture of food products beverages and tobacco products,2012,2012,TONNE,Tonnes,3,thousands,,,3070.475,,
BEL,Belgium,13-15,Manufacture of textiles, wearing apparel, leather and related products,2006,2006,TONNE,Tonnes,3,thousands,,,563.998,,
BEL,Belgium,13-15,Manufacture of textiles, wearing apparel, leather and related products,2008,2008,TONNE,Tonnes,3,thousands,,,121.173,,
BEL,Belgium,13-15,Manufacture of textiles, wearing apparel, leather and related products,2010,2010,TONNE,Tonnes,3,thousands,,,248.361,B,Break
BEL,Belgium,13-15,Manufacture of textiles, wearing apparel, leather and related products,2012,2012,TONNE,Tonnes,3,thousands,,,996.185,,
BEL,Belgium,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2006,2006,TONNE,Tonnes,3,thousands,,,694.045,,
BEL,Belgium,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2008,2008,TONNE,Tonnes,3,thousands,,,437.667,,
BEL,Belgium,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2010,2010,TONNE,Tonnes,3,thousands,,,1293.982,B,Break
BEL,Belgium,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2012,2012,TONNE,Tonnes,3,thousands,,,1460.63,,
BEL,Belgium,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2006,2006,TONNE,Tonnes,3,thousands,,,783.343,,
BEL,Belgium,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2008,2008,TONNE,Tonnes,3,thousands,,,663.51,,
BEL,Belgium,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2010,2010,TONNE,Tonnes,3,thousands,,,1747.29,B,Break
BEL,Belgium,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2012,2012,TONNE,Tonnes,3,thousands,,,1280.386,,
BEL,Belgium,19,Manufacture of coke and refined petroleum products,2006,2006,TONNE,Tonnes,3,thousands,,,167.155,,
BEL,Belgium,19,Manufacture of coke and refined petroleum products,2008,2008,TONNE,Tonnes,3,thousands,,,65.369,,
BEL,Belgium,19,Manufacture of coke and refined petroleum products,2010,2010,TONNE,Tonnes,3,thousands,,,122.092,B,Break
BEL,Belgium,19,Manufacture of coke and refined petroleum products,2012,2012,TONNE,Tonnes,3,thousands,,,120.158,,
BEL,Belgium,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2006,2006,TONNE,Tonnes,3,thousands,,,3087.582,,
BEL,Belgium,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2008,2008,TONNE,Tonnes,3,thousands,,,1227.765,,
BEL,Belgium,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2010,2010,TONNE,Tonnes,3,thousands,,,2160.56,B,Break
BEL,Belgium,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2012,2012,TONNE,Tonnes,3,thousands,,,2829.596,,
BEL,Belgium,23,Manufacture of other non-metallic mineral products,2006,2006,TONNE,Tonnes,3,thousands,,,2038.372,,
BEL,Belgium,23,Manufacture of other non-metallic mineral products,2008,2008,TONNE,Tonnes,3,thousands,,,638.839,,
BEL,Belgium,23,Manufacture of other non-metallic mineral products,2010,2010,TONNE,Tonnes,3,thousands,,,1040.358,B,Break
BEL,Belgium,23,Manufacture of other non-metallic mineral products,2012,2012,TONNE,Tonnes,3,thousands,,,997.63,,
BEL,Belgium,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2006,2006,TONNE,Tonnes,3,thousands,,,4242.803,,
BEL,Belgium,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,2835.646,,
BEL,Belgium,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,3932.771,B,Break
BEL,Belgium,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,6788.284,,
BEL,Belgium,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2006,2006,TONNE,Tonnes,3,thousands,,,3148.356,,
BEL,Belgium,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,1814.701,,
BEL,Belgium,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,3217.812,B,Break
BEL,Belgium,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,5190.626,,
BEL,Belgium,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2006,2006,TONNE,Tonnes,3,thousands,,,1078.983,,
BEL,Belgium,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2008,2008,TONNE,Tonnes,3,thousands,,,868.237,,
BEL,Belgium,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2010,2010,TONNE,Tonnes,3,thousands,,,556.764,B,Break
BEL,Belgium,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2012,2012,TONNE,Tonnes,3,thousands,,,893.963,,
BEL,Belgium,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2006,2006,TONNE,Tonnes,3,thousands,,,15.464,,
BEL,Belgium,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,152.708,,
BEL,Belgium,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,158.195,B,Break
BEL,Belgium,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,703.695,,
BEL,Belgium,35,Energy Production ,2006,2006,TONNE,Tonnes,3,thousands,,,1285.396,,
BEL,Belgium,35,Energy Production ,2008,2008,TONNE,Tonnes,3,thousands,,,1086.721,,
BEL,Belgium,35,Energy Production ,2010,2010,TONNE,Tonnes,3,thousands,,,1210.222,B,Break
BEL,Belgium,35,Energy Production ,2012,2012,TONNE,Tonnes,3,thousands,,,1314.161,,
BEL,Belgium,36-39,Water supply sewerage waste management ,2006,2006,TONNE,Tonnes,3,thousands,,,13568.472,,
BEL,Belgium,36-39,Water supply sewerage waste management ,2008,2008,TONNE,Tonnes,3,thousands,,,11082.457,,
BEL,Belgium,36-39,Water supply sewerage waste management ,2010,2010,TONNE,Tonnes,3,thousands,,,14133.101,B,Break
BEL,Belgium,36-39,Water supply sewerage waste management ,2012,2012,TONNE,Tonnes,3,thousands,,,12100.366,,
BEL,Belgium,41-43,Construction,2006,2006,TONNE,Tonnes,3,thousands,,,13055.636,,
BEL,Belgium,41-43,Construction,2008,2008,TONNE,Tonnes,3,thousands,,,15318.031,,
BEL,Belgium,41-43,Construction,2010,2010,TONNE,Tonnes,3,thousands,,,17827.952,B,Break
BEL,Belgium,41-43,Construction,2012,2012,TONNE,Tonnes,3,thousands,,,23936.513,,
BEL,Belgium,45-98,Other,2006,2006,TONNE,Tonnes,3,thousands,,,14510.156,,
BEL,Belgium,45-98,Other,2008,2008,TONNE,Tonnes,3,thousands,,,9415.29,,
BEL,Belgium,45-98,Other,2010,2010,TONNE,Tonnes,3,thousands,,,11375.339,B,Break
BEL,Belgium,45-98,Other,2012,2012,TONNE,Tonnes,3,thousands,,,10710.071,,
BEL,Belgium,INT_CAPITA,Primary waste per capita,2006,2006,KG_HAB,Kilograms per capita,0,units,,,5520.833,,
BEL,Belgium,INT_CAPITA,Primary waste per capita,2008,2008,KG_HAB,Kilograms per capita,0,units,,,4457.315,,
BEL,Belgium,INT_CAPITA,Primary waste per capita,2010,2010,KG_HAB,Kilograms per capita,0,units,,,5585.91,B,Break
BEL,Belgium,INT_CAPITA,Primary waste per capita,2012,2012,KG_HAB,Kilograms per capita,0,units,,,5924.552,,
BEL,Belgium,INT_GDP,Primary waste per unit of GDP,2006,2006,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,164.085,,
BEL,Belgium,INT_GDP,Primary waste per unit of GDP,2008,2008,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,129.127,,
BEL,Belgium,INT_GDP,Primary waste per unit of GDP,2010,2010,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,164.426,B,Break
BEL,Belgium,INT_GDP,Primary waste per unit of GDP,2012,2012,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,174.315,,
BEL,Belgium,INT_CONS,Waste from construction sector per capita,2006,2006,KG_HAB,Kilograms per capita,0,units,,,1237.742,,
BEL,Belgium,INT_CONS,Waste from construction sector per capita,2008,2008,KG_HAB,Kilograms per capita,0,units,,,1430.259,,
BEL,Belgium,INT_CONS,Waste from construction sector per capita,2010,2010,KG_HAB,Kilograms per capita,0,units,,,1632.556,B,Break
BEL,Belgium,INT_CONS,Waste from construction sector per capita,2012,2012,KG_HAB,Kilograms per capita,0,units,,,2150.97,,
CZE,Czech Republic,TOTAL_S,Total amounts of waste generated by sector,2006,2006,TONNE,Tonnes,3,thousands,,,24745.752,,
CZE,Czech Republic,TOTAL_S,Total amounts of waste generated by sector,2008,2008,TONNE,Tonnes,3,thousands,,,25419.695,,
CZE,Czech Republic,TOTAL_S,Total amounts of waste generated by sector,2010,2010,TONNE,Tonnes,3,thousands,,,23757.566,,
CZE,Czech Republic,TOTAL_S,Total amounts of waste generated by sector,2012,2012,TONNE,Tonnes,3,thousands,,,23171.358,,
CZE,Czech Republic,RES,Sorting residues, secondary waste,2006,2006,TONNE,Tonnes,3,thousands,,,315.3,,
CZE,Czech Republic,RES,Sorting residues, secondary waste,2008,2008,TONNE,Tonnes,3,thousands,,,227.889,,
CZE,Czech Republic,RES,Sorting residues, secondary waste,2010,2010,TONNE,Tonnes,3,thousands,,,295.441,,
CZE,Czech Republic,RES,Sorting residues, secondary waste,2012,2012,TONNE,Tonnes,3,thousands,,,351.99,,
CZE,Czech Republic,TOTAL,Total amounts of primary waste generated,2006,2006,TONNE,Tonnes,3,thousands,,,24430.452,,
CZE,Czech Republic,TOTAL,Total amounts of primary waste generated,2008,2008,TONNE,Tonnes,3,thousands,,,25191.806,,
CZE,Czech Republic,TOTAL,Total amounts of primary waste generated,2010,2010,TONNE,Tonnes,3,thousands,,,23462.125,,
CZE,Czech Republic,TOTAL,Total amounts of primary waste generated,2012,2012,TONNE,Tonnes,3,thousands,,,22819.368,,
CZE,Czech Republic,01-03,Agriculture forestry and fishing ,2006,2006,TONNE,Tonnes,3,thousands,,,315.489,,
CZE,Czech Republic,01-03,Agriculture forestry and fishing ,2008,2008,TONNE,Tonnes,3,thousands,,,254.485,,
CZE,Czech Republic,01-03,Agriculture forestry and fishing ,2010,2010,TONNE,Tonnes,3,thousands,,,113.61,,
CZE,Czech Republic,01-03,Agriculture forestry and fishing ,2012,2012,TONNE,Tonnes,3,thousands,,,195.94,,
CZE,Czech Republic,05-09,Mining and Quarrying,2006,2006,TONNE,Tonnes,3,thousands,,,471.47,,
CZE,Czech Republic,05-09,Mining and Quarrying,2008,2008,TONNE,Tonnes,3,thousands,,,166.924,,
CZE,Czech Republic,05-09,Mining and Quarrying,2010,2010,TONNE,Tonnes,3,thousands,,,114.572,,
CZE,Czech Republic,05-09,Mining and Quarrying,2012,2012,TONNE,Tonnes,3,thousands,,,167.422,,
CZE,Czech Republic,10-33,Manufacturing industries: Total,2006,2006,TONNE,Tonnes,3,thousands,,,5830.96,,
CZE,Czech Republic,10-33,Manufacturing industries: Total,2008,2008,TONNE,Tonnes,3,thousands,,,5217.918,,
CZE,Czech Republic,10-33,Manufacturing industries: Total,2010,2010,TONNE,Tonnes,3,thousands,,,4184.445,,
CZE,Czech Republic,10-33,Manufacturing industries: Total,2012,2012,TONNE,Tonnes,3,thousands,,,4344.67,,
CZE,Czech Republic,10-12,Manufacture of food products beverages and tobacco products,2006,2006,TONNE,Tonnes,3,thousands,,,637.757,,
CZE,Czech Republic,10-12,Manufacture of food products beverages and tobacco products,2008,2008,TONNE,Tonnes,3,thousands,,,376.152,,
CZE,Czech Republic,10-12,Manufacture of food products beverages and tobacco products,2010,2010,TONNE,Tonnes,3,thousands,,,270.152,,
CZE,Czech Republic,10-12,Manufacture of food products beverages and tobacco products,2012,2012,TONNE,Tonnes,3,thousands,,,235.618,,
CZE,Czech Republic,13-15,Manufacture of textiles, wearing apparel, leather and related products,2006,2006,TONNE,Tonnes,3,thousands,,,79.606,,
