TIME,GEO,INDUSTRY,EMISSION
2004,Estonia,Transportation and storage,-1
2004,Estonia,Accommodation and food service activities,-1
2004,Estonia,Information and communication,-1
2004,Estonia,Financial and insurance activities,-1
2004,Estonia,Real estate activities,-1
2004,Estonia,Professional_ scientific and technical activities,-1
2004,Estonia,Administrative and support service activities,-1
2004,Estonia,Public administration and defence_ compulsory social security,-1
2004,Estonia,Education,-1
2004,Estonia,Human health and social work activities,-1
2004,Estonia,Arts_ entertainment and recreation,-1
2004,Estonia,Other service activities,-1
2004,Estonia,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,Estonia,Activities of extraterritorial organisations and bodies,-1
2004,Ireland,Total - All NACE activities,32923670
2004,Ireland,Agriculture_ forestry and fishing,1457084
2004,Ireland,Mining and quarrying,349399
2004,Ireland,Manufacturing,8745561
2004,Ireland,Electricity_ gas_ steam and air conditioning supply,14739250
2004,Ireland,Water supply_ sewerage_ waste management and remediation activities,73389
2004,Ireland,Wholesale and retail trade_ repair of motor vehicles and motorcycles,1591653
2004,Ireland,Transportation and storage,3390942
2004,Ireland,Accommodation and food service activities,405954
2004,Ireland,Information and communication,127195
2004,Ireland,Financial and insurance activities,73574
2004,Ireland,Real estate activities,34864
2004,Ireland,Professional_ scientific and technical activities,156895
2004,Ireland,Administrative and support service activities,114211
2004,Ireland,Public administration and defence_ compulsory social security,498937
2004,Ireland,Education,316284
2004,Ireland,Human health and social work activities,112515
2004,Ireland,Arts_ entertainment and recreation,32615
2004,Ireland,Other service activities,105649
2004,Ireland,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,0
2004,Ireland,Activities of extraterritorial organisations and bodies,0
2004,Greece,Total - All NACE activities,-1
2004,Greece,Agriculture_ forestry and fishing,-1
2004,Greece,Mining and quarrying,-1
2004,Greece,Manufacturing,-1
2004,Greece,Electricity_ gas_ steam and air conditioning supply,-1
2004,Greece,Water supply_ sewerage_ waste management and remediation activities,-1
2004,Greece,Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,Greece,Transportation and storage,-1
2004,Greece,Accommodation and food service activities,-1
2004,Greece,Information and communication,-1
2004,Greece,Financial and insurance activities,-1
2004,Greece,Real estate activities,-1
2004,Greece,Professional_ scientific and technical activities,-1
2004,Greece,Administrative and support service activities,-1
2004,Greece,Public administration and defence_ compulsory social security,-1
2004,Greece,Education,-1
2004,Greece,Human health and social work activities,-1
2004,Greece,Arts_ entertainment and recreation,-1
2004,Greece,Other service activities,-1
2004,Greece,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,Greece,Activities of extraterritorial organisations and bodies,-1
2004,Spain,Total - All NACE activities,-1
2004,Spain,Agriculture_ forestry and fishing,-1
2004,Spain,Mining and quarrying,-1
2004,Spain,Manufacturing,-1
2004,Spain,Electricity_ gas_ steam and air conditioning supply,-1
2004,Spain,Water supply_ sewerage_ waste management and remediation activities,-1
2004,Spain,Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,Spain,Transportation and storage,-1
2004,Spain,Accommodation and food service activities,-1
2004,Spain,Information and communication,-1
2004,Spain,Financial and insurance activities,-1
2004,Spain,Real estate activities,-1
2004,Spain,Professional_ scientific and technical activities,-1
2004,Spain,Administrative and support service activities,-1
2004,Spain,Public administration and defence_ compulsory social security,-1
2004,Spain,Education,-1
2004,Spain,Human health and social work activities,-1
2004,Spain,Arts_ entertainment and recreation,-1
2004,Spain,Other service activities,-1
2004,Spain,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,Spain,Activities of extraterritorial organisations and bodies,-1
2004,France,Total - All NACE activities,-1
2004,France,Agriculture_ forestry and fishing,-1
2004,France,Mining and quarrying,-1
2004,France,Manufacturing,-1
2004,France,Electricity_ gas_ steam and air conditioning supply,-1
2004,France,Water supply_ sewerage_ waste management and remediation activities,-1
2004,France,Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,France,Transportation and storage,-1
2004,France,Accommodation and food service activities,-1
2004,France,Information and communication,-1
2004,France,Financial and insurance activities,-1
2004,France,Real estate activities,-1
2004,France,Professional_ scientific and technical activities,-1
2004,France,Administrative and support service activities,-1
2004,France,Public administration and defence_ compulsory social security,-1
2004,France,Education,-1
2004,France,Human health and social work activities,-1
2004,France,Arts_ entertainment and recreation,-1
2004,France,Other service activities,-1
2004,France,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,France,Activities of extraterritorial organisations and bodies,-1
2004,Croatia,Total - All NACE activities,-1
2004,Croatia,Agriculture_ forestry and fishing,-1
2004,Croatia,Mining and quarrying,-1
2004,Croatia,Manufacturing,-1
2004,Croatia,Electricity_ gas_ steam and air conditioning supply,-1
2004,Croatia,Water supply_ sewerage_ waste management and remediation activities,-1
2004,Croatia,Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,Croatia,Transportation and storage,-1
2004,Croatia,Accommodation and food service activities,-1
2004,Croatia,Information and communication,-1
2004,Croatia,Financial and insurance activities,-1
2004,Croatia,Real estate activities,-1
2004,Croatia,Professional_ scientific and technical activities,-1
2004,Croatia,Administrative and support service activities,-1
2004,Croatia,Public administration and defence_ compulsory social security,-1
2004,Croatia,Education,-1
2004,Croatia,Human health and social work activities,-1
2004,Croatia,Arts_ entertainment and recreation,-1
2004,Croatia,Other service activities,-1
2004,Croatia,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,Croatia,Activities of extraterritorial organisations and bodies,-1
2004,Italy,Total - All NACE activities,381360781
2004,Italy,Agriculture_ forestry and fishing,9149865
2004,Italy,Mining and quarrying,1773669
2004,Italy,Manufacturing,143613862
2004,Italy,Electricity_ gas_ steam and air conditioning supply,140512679
2004,Italy,Water supply_ sewerage_ waste management and remediation activities,8459563
2004,Italy,Wholesale and retail trade_ repair of motor vehicles and motorcycles,9711999
2004,Italy,Transportation and storage,51353336
2004,Italy,Accommodation and food service activities,1979655
2004,Italy,Information and communication,316020
2004,Italy,Financial and insurance activities,552336
2004,Italy,Real estate activities,240756
2004,Italy,Professional_ scientific and technical activities,1096065
2004,Italy,Administrative and support service activities,3118419
2004,Italy,Public administration and defence_ compulsory social security,2301612
2004,Italy,Education,47854
2004,Italy,Human health and social work activities,1301674
2004,Italy,Arts_ entertainment and recreation,434509
2004,Italy,Other service activities,805001
2004,Italy,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,0
2004,Italy,Activities of extraterritorial organisations and bodies,0
2004,Cyprus,Total - All NACE activities,-1
2004,Cyprus,Agriculture_ forestry and fishing,-1
2004,Cyprus,Mining and quarrying,-1
2004,Cyprus,Manufacturing,-1
2004,Cyprus,Electricity_ gas_ steam and air conditioning supply,-1
2004,Cyprus,Water supply_ sewerage_ waste management and remediation activities,-1
2004,Cyprus,Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,Cyprus,Transportation and storage,-1
2004,Cyprus,Accommodation and food service activities,-1
2004,Cyprus,Information and communication,-1
2004,Cyprus,Financial and insurance activities,-1
2004,Cyprus,Real estate activities,-1
2004,Cyprus,Professional_ scientific and technical activities,-1
2004,Cyprus,Administrative and support service activities,-1
2004,Cyprus,Public administration and defence_ compulsory social security,-1
2004,Cyprus,Education,-1
2004,Cyprus,Human health and social work activities,-1
2004,Cyprus,Arts_ entertainment and recreation,-1
2004,Cyprus,Other service activities,-1
2004,Cyprus,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,Cyprus,Activities of extraterritorial organisations and bodies,-1
2004,Latvia,Total - All NACE activities,-1
2004,Latvia,Agriculture_ forestry and fishing,-1
